@relation children

@attribute class numeric
@attribute sex {1,0}
@attribute RPG {1,0}
@attribute shooter {1,0}
@attribute fighting {1,0}
@attribute stratigy {1,0}
@attribute simulator {1,0}
@attribute logical {1,0}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute films {1,0}
@attribute music {1,0}
@attribute information {1,0}
@attribute documents {1,0}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute azLie numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute Amin numeric
@attribute Amax numeric
@attribute Arash numeric
@attribute Acommon numeric
@attribute WR numeric
@attribute WL numeric
@attribute AsW numeric
@attribute min {1,0}
@attribute max {1,0}
@attribute rash {1,0}
@attribute W {1,0}
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute difficit {1,0}
@attribute mark numeric
@attribute sleepHours numeric
@attribute hardtofall {1,0}
@attribute hardtoawake {1,0}
@attribute enoughsleep {1,0}
@attribute awakeatnight {1,0}
@attribute insomnia {1,0}

@data
8,1,0,1,0,1,1,0,21,8.12,1,1,1,1,12.25,41.37,19,9,4,сангвиник,25,33,149.5,724.5,2242.5,230,644,2185,0.212,-0.059,0.013,0.221,2289.511,2361.368,-71.856,1,0,1,1,3,15,15,0,5,7.5,1,0,1,0,0
8,0,0,0,0,0,0,0,0,17.15,0,1,1,1,13.65,30.8,17,18,6,холерик,29,48,268.333,674.667,2606.667,299,789.667,2491.667,0.054,0.079,0.023,0.098,2630.851,2705.899,-75.048,1,1,1,1,7,17,20,1,3.58,?,?,?,?,?,?
8,0,0,1,0,0,0,0,14,42,0,1,1,0,42,98,19,13,4,сангвиник,42,31,184,904.667,3074.333,222.333,705.333,2852,0.094,-0.124,0.038,0.16,2946.325,3209.954,-263.629,1,0,1,1,4,7,3,0,4.33,8,0,1,0,0,0
8,0,0,0,0,0,0,0,0,45.84,1,1,1,1,60.25,106.09,21,10,7,сангвиник,32,42,368,1027.333,1947.333,283.667,958.333,2223.333,-0.129,-0.035,-0.066,0.149,2437.638,2232.251,205.387,0,0,0,0,6,13,15,0,4.51,9,0,0,0,0,0
8,1,0,1,0,1,0,1,70.5,0,1,1,1,1,50,120.5,20,4,1,сангвиник,43,37,222.333,866.333,2783,245.333,805,2047,0.049,-0.037,0.152,0.164,2213.238,2923.193,-709.955,1,0,1,1,3,14,11,0,4.16,7.5,0,0,0,0,0
8,1,0,1,1,0,0,0,63,10.29,1,1,1,0,15.05,88.34,19,6,4,сангвиник,30,28,299,655.5,3254.5,230,759,2484,-0.13,0.073,0.134,0.201,2607.535,3333.294,-725.76,0,1,1,1,7,17,16,0,3.08,9,0,1,1,0,0
6,1,0,0,1,0,1,0,7.5,0,1,1,0,1,9,16.5,15,12,9,сангвиник,35,28,337.333,1050.333,2568.333,490.667,1088.667,2622,0.185,0.018,-0.01,0.186,3051.815,2607.94,443.874,1,1,0,2,17,28,24,1,3.41,7,0,1,1,0,0
6,1,0,1,0,1,0,0,56,19.6,1,1,1,0,22.96,98.56,15,18,4,холерик,40,0,552,989,2967,437,1449,4312.5,-0.116,0.189,-0.185,0.289,5193.164,3774.804,1418.36,0,1,0,7,10,22,18,0,3.7,?,?,?,?,?,?
6,0,0,0,0,0,0,1,8.75,0,0,0,0,1,5.25,14,18,13,1,сангвиник,37,40,253,766.667,3220,368,805,2990,0.185,0.024,0.037,0.19,2211.471,2977.145,-765.674,1,1,1,1,12,21,20,1,3.52,?,?,?,?,?,?
6,0,0,0,1,0,0,0,28,3.5,1,1,1,1,73.5,105,10,15,2,меланхолик,63,46,241.5,1012,2817.5,241.5,782,3415.5,0,-0.128,-0.096,0.16,3773.542,2854.225,919.317,0,0,0,9,12,21,24,1,4.33,9,1,0,1,0,0
7,1,0,1,0,0,0,0,21,14,0,0,0,0,0,35,18,7,5,сангвиник,33,38,375.667,889.333,3197,398.667,874,2974.667,0.03,-0.009,0.036,0.047,2698.852,3180.66,-481.808,1,0,1,3,8,10,9,1,3.32,7.5,1,0,0,0,0
7,0,0,0,0,0,0,0,0,31.85,1,1,1,0,49.56,81.41,19,15,3,холерик,38,44,310.5,724.5,3668.5,368,713,3074.333,0.085,-0.008,0.088,0.123,3102.699,3732.313,-629.613,1,0,1,3,5,17,16,0,4.14,7,0,1,1,0,0
7,1,0,1,0,0,1,0,35,14,1,1,1,1,70,119,17,13,4,сангвиник,43,40,245.333,751.333,3450,283.667,720.667,3557.333,0.072,-0.021,-0.015,0.077,4362.67,3904.381,458.289,1,0,0,8,8,18,22,0,4.42,7.5,0,0,0,0,0
7,0,0,0,0,0,0,1,11.9,3.5,0,0,1,0,2.1,17.5,8,17,4,меланхолик,46,56,414,805,3197,598,1012,2714,0.182,0.114,0.082,0.23,2957.625,3322.684,-365.059,1,1,1,1,13,14,17,1,4.28,9,0,0,1,0,0
7,1,1,1,0,1,0,0,63,28,0,0,0,1,7,98,21,7,3,сангвиник,33,32,276,690,3565,322,697.667,3503.667,0.077,0.006,0.009,0.078,3547.223,3627.516,-80.293,1,1,1,1,8,16,15,0,3.55,6,0,0,1,0,0
7,0,0,0,1,0,1,1,10.5,7,0,0,0,0,0,17.5,17,17,4,холерик,44,50,222.333,751.333,5152,375.667,866.333,3442.333,0.256,0.071,0.199,0.332,3168.161,5727.369,-2559.208,1,1,1,1,7,16,20,1,4.16,9,1,1,0,0,0
7,0,0,0,0,0,0,0,0,10.5,0,0,1,0,3.29,13.79,14,18,5,холерик,50,53,245.333,797.333,2054.667,337.333,989,2123.667,0.158,0.107,-0.017,0.192,2539.704,2528.536,11.168,1,1,0,2,14,26,23,0,4.02,7,1,1,0,0,1
7,0,0,0,0,0,1,0,3.5,8.19,1,1,1,1,28,39.69,18,12,4,сангвиник,45,37,299,881.667,2775.333,360.333,820.333,2514.667,0.093,-0.036,0.049,0.111,2867.169,2968.07,-100.9,1,0,1,3,8,18,17,0,3.9,?,?,?,?,?,?
7,0,0,0,0,0,0,0,0,7.56,0,0,0,0,0,7.56,18,9,4,сангвиник,24,34,352.667,835.667,2491.667,337.333,858.667,2346,-0.022,0.014,0.03,0.04,3169.413,2781.384,388.03,0,1,1,4,13,24,24,0,4.82,7,0,0,1,0,0
7,1,0,1,0,0,0,0,28,15.75,0,1,0,1,3.5,47.25,13,23,4,холерик,33,42,429.333,1127,2530,452.333,1180.667,2591.333,0.026,0.023,-0.012,0.037,2972.789,2716.241,256.548,1,1,0,2,6,15,14,0,3.38,6,0,1,0,0,1
7,0,0,0,0,0,0,1,14.7,12.25,1,1,1,1,42,68.95,8,23,4,меланхолик,50,62,329.667,904.667,2238.667,444.667,989,2292.333,0.149,0.045,-0.012,0.156,2420.798,2628.247,-207.449,1,1,0,2,9,20,20,0,3.41,9,0,1,1,0,0
7,1,0,0,0,0,0,0,0,21,0,1,0,1,8.19,29.19,18,15,2,холерик,36,36,391,747.5,3289,391,904.667,3818,0,0.095,-0.074,0.121,3525.008,3759.99,-234.982,0,1,0,10,15,20,21,0,3.88,8.5,0,0,1,1,0
7,0,0,0,0,0,0,0,3.5,31.5,1,1,1,1,66.5,101.5,17,22,2,холерик,45,46,368,766.667,3634,406.333,782,3649.333,0.05,0.01,-0.002,0.051,3816.961,4274.289,-457.328,1,1,0,2,8,21,20,0,4.38,9,0,1,1,0,0
7,1,1,1,0,0,0,0,33.25,14,0,0,1,0,7.63,54.88,17,7,3,сангвиник,28,30,337.333,782,2967,406.333,805,2798.333,0.093,0.014,0.029,0.098,3015.545,3259.434,-243.889,1,1,1,1,12,20,20,0,5,?,?,?,?,?,?
7,1,0,1,0,0,1,0,45.5,35.56,0,1,1,1,4.69,85.75,22,4,6,сангвиник,24,30,314.333,766.667,3312,360.333,920,3097.333,0.068,0.091,0.033,0.118,3377.164,3607.042,-229.878,1,1,1,1,4,3,6,0,3.89,?,?,?,?,?,?
7,0,0,0,0,0,1,0,5.88,14,0,1,0,1,3.5,23.38,21,19,5,холерик,33,36,368,943,2921,391,874,3208.5,0.03,-0.038,-0.047,0.068,3353.35,2735.937,617.413,1,0,0,8,13,21,26,0,3.94,9,0,1,1,0,0







